Canonical_ID,Canonical_Work,Raw_IDs,Raw_Count,Source_Type,Review_Level,Priority_After_Review,Primary_Domain,Verified_Scope,ArchLab_Use,Cautions,Source_Locator
A-CAN-051,Characterization and Comparison of Application Resilience for Serial and Parallel Codes,K0592,1,Poster/paper,L1,A,RAS / Reliability / ECC,"Application-level bit-flip injection on serial and MPI versions of NAS CG/FT/BT; benign, SDC and crash outcomes; comparison of common and parallel-only vulnerable instruction sites; sample-count stabilization.",Workload-sensitive fault-injection campaigns and serial-vs-parallel resilience comparisons.,Preliminary poster with small process count and selected instructions; not a hardware fault-rate model.,Drive ID 1tXcIpIR1FW9yeQySkG9D_e5TVrpPVzMd
A-CAN-052,Classifying Soft Error Vulnerabilities in Extreme-Scale Scientific Applications Using a Binary Instrumentation Tool,K0618,1,Paper,L1,A,RAS / Reliability / ECC,"BIFIT object-specific and execution-point-specific bit-flip injection; transient versus hard faults; success, abort and SDC outcomes; per-data-object vulnerability classification and selective protection.",Semantic fault injection into named data objects and explicit outcome taxonomy.,Emulates application-visible bit corruption after hardware masking; does not model the complete physical fault path.,Drive ID 1FuQbe6eiKfGzbwchHloDd7ZQAgUHiQt9
A-CAN-053,Fast Fault Injection and Sensitivity Analysis for Collective Communications,K0603,1,Paper,L1,A,RAS / Reliability / ECC,FastFIT for MPI collectives; faults in collective parameters and buffers; success/application-detected/MPI-error/segfault/wrong-answer/infinite-loop outcomes; semantic and context pruning plus ML prediction.,"Collective-communication fault model, propagation experiments and campaign-space reduction.","Focuses correctness sensitivity of MPI collectives, not recovery or physical interconnect fault timing.",Drive ID 1LqmXccBz_h4ULNVN-2d5tZymt7o3GvcN
A-CAN-054,FlipTracker: Understanding Natural Error Resilience in HPC Applications,K0578,1,Paper,L1,A,RAS / Reliability / ECC,"Code-region model, dynamic data-dependency graph and alive-corrupted-location tracking; six natural-resilience computation patterns; verification success/failure/crash and propagation analysis.",Error-propagation observability and application-level masking analysis.,Natural resilience is workload and implementation dependent; it must not silently weaken architectural protection guarantees.,Drive ID 11zTnxjYUozm7fXRsspVtP8X1TBglgz55
A-CAN-055,MATCH: An MPI Fault Tolerance Benchmark Suite,K0576,1,Paper,L1,A,RAS / Reliability / ECC,"Structured comparison of MPI fault-tolerance designs using proxy applications; checkpointing with FTI and process recovery with restart, ULFM and Reinit; data-dependency analysis for checkpoint selection.","Recovery benchmark suite, checkpoint/restart state selection and overhead decomposition.","Targets fail-stop process/node failure and MPI recovery, not silent hardware corruption.",Drive ID 1yQU84wyhe8nAJN_7Iyh9Tofr7DQL9OXw
A-CAN-056,Quantitatively Modeling Application Resilience with the Data Vulnerability Factor,K0610,1,Paper,L1,A,RAS / Reliability / ECC,"DVF metric combines hardware FIT, execution time, object size and hardware-access exposure; Aspen-based analytical modeling; data-structure-level vulnerability and performance/resilience tradeoffs.",Fast analytical cross-check for detailed fault injection and AVF-style metrics.,DVF is a modeling abstraction with assumptions; it cannot replace fault-path simulation or empirical calibration.,Drive ID 1xbaIVhVIwdFckhDNGSw2wb0-TclqZHlF
A-CAN-057,Rethinking Algorithm-Based Fault Tolerance with a Cooperative Software-Hardware Approach,K0614,1,Paper,L1,A,RAS / Reliability / ECC,"Coordination of application ABFT and memory ECC; selective/relaxed ECC, error notification and software-hardware co-design; SECDED and symbol-oriented Chipkill context.",Cross-layer policy experiments where application semantics and hardware protection cooperate.,"Adaptive protection is an optional research policy, never the default correctness contract.",Drive ID 1NxLDWh5aRI7GBri4vBUzn6v_NBCt0Hpg
A-CAN-058,Understanding Ineffectiveness of the Application-Level Fault Injection,K0596,1,Poster/paper,L1,A,RAS / Reliability / ECC,"Sensitivity of random fault-injection conclusions to campaign size and input problem; LLVM FlipIt tests across seven NAS benchmarks and 1,000–10,000 injections.","Campaign manifest, convergence checks, repetitions and confidence requirements.",A single injection count or workload is not a universal statistical rule.,Drive ID 1kITCVLPu9va66vKkqy7l9Bq5dTGp0Sot
A-CAN-059,"Coding Theory: Algorithms, Architectures, and Applications",K0211,1,Book,L1,A,RAS / Reliability / ECC,"Linear block codes, generator/parity-check matrices and syndrome; cyclic/BCH/Reed-Solomon codes; convolutional/Viterbi, LDPC, turbo codes; algorithms and implementation concerns.","Reusable ECC encoder/decoder interfaces and algorithm references for memory, cache, links and storage.",Communication-channel examples are broader than ArchLab memory RAS; code choice must follow component geometry and fault model.,Drive ID 1wdqA-FySHrUMumezOsm1Qyw69GSEwDCY
A-CAN-060,DRAM Errors in the Wild: A Large-Scale Field Study,K0101,1,Paper,L1,S,RAS / Reliability / ECC,"Large production-fleet DRAM field data over 2.5 years; CE/UE incidence, hard-versus-soft behavior, DIMM technology/age/temperature/utilization factors, SECDED/Chipkill context and memory scrubbing.","Primary empirical basis for DRAM fault distributions, persistent-fault modeling, CE history, scrub and retirement experiments.","2006–2008 fleet and older DDR generations; use qualitative distributions and methodology, then calibrate modern systems separately.",Drive ID 1i0Dz6j4muscxG-7WGiDKl9a8XVypCKIC
