ID,Filename,Canonical_ID,Canonical_Title,Priority,Category,Triage_Basis,Canonical_Relationship,Disposition
K0006,How to Develop Embedded Software Using The QEMU Machine Emulator (Artem Kotovsky) (z-lib.org).pdf,R-QEMU-EMBED-001,How to Develop Embedded Software Using the QEMU Machine Emulator,A,Virtualization / QEMU / KVM / IOMMU,Title/metadata,,Milestone detailed review
K0038,understand.pdf,R-LINUX-VM-001,Understanding the Linux Virtual Memory Manager,A,OS / Linux / Kernel / Virtual Memory,First pages/preface inspected,,Milestone detailed review
K0159,hello-algo-1.0.0-zh-cpp.pdf,R-HELLO-ALGO-001,Hello Algo (Chinese C++ edition),B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0175,"C++ Templates The Complete Guide (David Vandevoorde, Nicolai M. Josuttis etc.) (z-lib.org).pdf",R-CPP-TEMPLATES-001,C++ Templates: The Complete Guide,B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0178,C++ Primer Plus：中文版（第六版） (Stephen Prata) (Z-Library).pdf,R-CPP-PRIMER-PLUS-001,"C++ Primer Plus, Sixth Edition",B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0189,Professional C++ (Marc Gregoire) (第四版).pdf,R-PROFESSIONAL-CPP-001,Professional C++ (Marc Gregoire),B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,Two raw copies/edition-labelled variants; retain until edition and hash are verified.,Retained / read on demand
K0190,Professional C++ (Marc Gregoire) (z-lib.org).pdf,R-PROFESSIONAL-CPP-001,Professional C++ (Marc Gregoire),B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,Two raw copies/edition-labelled variants; retain until edition and hash are verified.,Retained / read on demand
K0212,"Error Control Coding (2nd Edition) (Shu Lin, Daniel J. Costello) (Z-Library).pdf",R-ERROR-CONTROL-CODING-001,"Error Control Coding, Second Edition",A,RAS / Reliability / ECC,Title/metadata,,Milestone detailed review
K0220,The Joys of Hashing.pdf,R-JOYS-HASHING-001,The Joys of Hashing,B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0250,普林斯顿微积分读本(修订版) (阿德里安．班纳 (Adrian Banner)) (Z-Library).pdf,R-PRINCETON-CALCULUS-001,The Calculus Lifesaver / 普林斯顿微积分读本,B,Math / Statistics / Queueing / Optimization,Title/metadata,,Retained / read on demand
K0276,07机器学习.pdf,R-VISUALIZE-ML-SERIES-001,"鸢尾花书 / Visualize-ML series (Books 1, 2, 6, 7)",B,AI / GPU / NPU / Heterogeneous,Series contents inspected through Book 7,"Four volumes in one series, not duplicates.",Retained / read on demand
K0278,06数据有道 .pdf,R-VISUALIZE-ML-SERIES-001,"鸢尾花书 / Visualize-ML series (Books 1, 2, 6, 7)",B,AI / GPU / NPU / Heterogeneous,Series contents inspected through Book 7,"Four volumes in one series, not duplicates.",Retained / read on demand
K0279,01编成不难.pdf,R-VISUALIZE-ML-SERIES-001,"鸢尾花书 / Visualize-ML series (Books 1, 2, 6, 7)",B,AI / GPU / NPU / Heterogeneous,Series contents inspected through Book 7,"Four volumes in one series, not duplicates.",Retained / read on demand
K0280,02可视之美.pdf,R-VISUALIZE-ML-SERIES-001,"鸢尾花书 / Visualize-ML series (Books 1, 2, 6, 7)",B,AI / GPU / NPU / Heterogeneous,Series contents inspected through Book 7,"Four volumes in one series, not duplicates.",Retained / read on demand
K0306,"Introduction to the Theory of Computation, Third International Edition (Michael Sipser) (Z-Library).pdf",R-SIPSER-TOC-001,"Introduction to the Theory of Computation, Third International Edition",B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0307,"Computer Science An Interdisciplinary Approach (Robert Sedgewick, Kevin Wayne) (z-lib.org).pdf",R-SEDGEWICK-CS-001,Computer Science: An Interdisciplinary Approach,B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0310,The Programmers Brain What every programmer needs to know about cognition (Felienne Hermans) (z-lib.org).pdf,R-PROGRAMMERS-BRAIN-001,The Programmer's Brain,B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0311,"Computer Science An Overview, Global Edition (Glenn Brookshear, Dennis Brylow) (z-lib.org).pdf",R-CS-OVERVIEW-001,"Computer Science: An Overview, Global Edition",B,Programming / C++ / Rust / Algorithms / Software Engineering,Title/metadata,,Retained / read on demand
K0312,Essential Computer Science A Programmer s Guide to Foundatio.pdf,R-COMER-ARCH-001,"Essentials of Computer Architecture, Second Edition (Douglas Comer)",A,CPU / ISA / Microarchitecture,First pages and TOC inspected,,Milestone detailed review
K0323,Essentials Of Computer Organization And Architecture .pdf,R-NULL-ARCH-001,The Essentials of Computer Organization and Architecture (Linda Null et al.),A,CPU / ISA / Microarchitecture,Title/metadata,"Probable duplicate/title variants; verify edition, page count and hash.",Milestone detailed review
K0334,Essentials of Computer Organization and Architecture by Linda Null (z-lib.org).pdf,R-NULL-ARCH-001,The Essentials of Computer Organization and Architecture (Linda Null et al.),A,CPU / ISA / Microarchitecture,Title/metadata,"Probable duplicate/title variants; verify edition, page count and hash.",Milestone detailed review
K0336,Computer System Architecture (M. Morris Mano) (z-lib.org).pdf,R-MANO-ARCH-001,Computer System Architecture (M. Morris Mano),B,CPU / ISA / Microarchitecture,Title/metadata,,Retained / read on demand
K0338,computer-organization-architecture-11th(20220908093339).pdf,R-STALLINGS-COA11-001,"Computer Organization and Architecture: Designing for Performance, 11th Edition",A,CPU / ISA / Microarchitecture,Title/metadata,,Milestone detailed review
K0367,section_4.16.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0368,section_1.12.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0369,section_2.21.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0370,section_6.15.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0371,section_3.11.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0372,section_5.12.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0374,section_5.17.pdf,R-COD-HIST-SUPPLEMENTS-001,Computer Organization and Design historical-perspective/further-reading section supplements,B,CPU / ISA / Microarchitecture,Selected section contents inspected,Seven chapter supplements belonging to one textbook family.,Retained / read on demand
K0386,COMPUTERARCHITECTURETECHNIQUES FORPOWER-EFFICIENCY.pdf,R-POWER-EFFICIENT-ARCH-001,Computer Architecture Techniques for Power-Efficiency,A,Performance / Datacenter / Benchmarking,Title/metadata,,Milestone detailed review
K0430,"Hardware-dependent Software - Principles and Practice (Wolfgang Ecker, Wolfgang Müller, Rainer Dömer) (z-lib.org).pdf",R-HARDWARE-DEPENDENT-SW-001,Hardware-dependent Software: Principles and Practice,A,Firmware / Boot / UEFI / BIOS,Title/metadata,,Milestone detailed review
K0459,Practical Implementations of Non-Blocking.pdf,R-NONBLOCKING-SYNC-001,Practical Implementations of Non-Blocking Synchronization Primitives,A,Parallel / HPC / Concurrency / NUMA,Title and abstract inspected,,Milestone detailed review
K0514,wlmod.pdf,R-WORKLOAD-MODELING-001,Workload Modeling for Computer Systems Performance Evaluation,A,Performance / Datacenter / Benchmarking,First pages and TOC inspected,,Milestone detailed review
K0529,065_mLR-_Scalable_Laminography_Reconstruction_based_on_Memoization.pdf,R-MLR-LAMINOGRAPHY-001,mLR: Scalable Laminography Reconstruction Based on Memoization,B,Parallel / HPC / Concurrency / NUMA,Title/metadata,,Retained / read on demand
K0556,045_Fauce-_Fast_and_Accurate_Deep_Ensembles_with_Uncertainty_for_Cardinality_Estimation.pdf,R-FAUCE-001,Fauce: Fast and Accurate Deep Ensembles with Uncertainty for Cardinality Estimation,B,AI / GPU / NPU / Heterogeneous,Title/metadata,,Retained / read on demand
K0558,033_Efficient_Buffer_Overflow_Detection_on_GPU.pdf,R-GPU-BOUNDS-001,Efficient Buffer Overflow Detection on GPU,B,Security / Trusted Computing,Title/metadata,,Retained / read on demand
K0568,091_RIANN-_Real-time_Incremental_Learning_with_Approximate_Nearest_Neighbor_on_Mobile_Devices.pdf,R-RIANN-001,RIANN: Real-time Incremental Learning with Approximate Nearest Neighbor on Mobile Devices,B,AI / GPU / NPU / Heterogeneous,Title/metadata,,Retained / read on demand
K0599,002_2014_HPDC14.pdf,R-ESTEEM-EDRAM-001,Improving Energy Efficiency of Embedded DRAM Caches for High-end Computing Systems (ESTEEM),B,Memory / Cache / DRAM / NVM / CXL,Abstract and introduction inspected,,Retained / read on demand
K0601,003_2016_DataClound16.pdf,R-GPU-DPM-001,An Efficient Parallel Implementation of a Light-weight Data Privacy Method for Mobile Cloud Users,B,Security / Trusted Computing,Abstract inspected,,Retained / read on demand
K0615,001_2014_GLVSL14.pdf,R-WRITESMOOTHING-001,WriteSmoothing: Improving Lifetime of Non-volatile Caches Using Intra-set Wear-leveling,B,RAS / Reliability / ECC,Abstract and introduction inspected,,Retained / read on demand
K0617,059_LNCS_8374_-_Evaluating_the_Viability_of_Application-Driven_Cooperative_CPU-GPU_Fault_Detection.pdf,R-CPU-GPU-FAULT-DETECTION-001,Evaluating the Viability of Application-Driven Cooperative CPU-GPU Fault Detection,A,RAS / Reliability / ECC,Title/metadata,,Milestone detailed review
K0621,086_Power-aware_MPI_task_aggregation_prediction_for_high-end_computing_systems.pdf,R-POWER-AWARE-MPI-001,Power-aware MPI Task Aggregation Prediction for High-end Computing Systems,B,Parallel / HPC / Concurrency / NUMA,Title/metadata,,Retained / read on demand
